Execution,Algorithm,Workflow,Hosts,Best ENERGY,Mean ENERGY,Min ENERGY,Max ENERGY,Best MAKESPAN,Mean MAKESPAN,Min MAKESPAN,Max MAKESPAN
soykb-chameleon-40fastq-20ch-001-hosts-4-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-40fastq-20ch-001,4,39555783.108189,39713310.330680,39555783.108189,39765772.513057,47865.699357,47878.142337,47865.699357,47887.980365
soykb-chameleon-40fastq-20ch-001-hosts-8-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-40fastq-20ch-001,8,48301643.810134,48547532.937752,48301643.810134,48655974.227045,39937.294729,39970.000706,39937.294729,40009.394356
soykb-chameleon-40fastq-20ch-001-hosts-16-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-40fastq-20ch-001,16,65824571.105623,65988289.799974,65824571.105623,66120900.455394,35989.287836,36008.903691,35989.287836,36022.253138
srasearch-chameleon-10a-005-hosts-2-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-10a-005,2,2008986.309937,2029929.660774,2008986.309937,2041975.263356,3548.185568,3550.607028,3548.185568,3552.899162
srasearch-chameleon-10a-005-hosts-4-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-10a-005,4,1875475.498659,2016026.971410,1875475.498659,2056878.858562,1786.038616,1788.437783,1786.038616,1792.858089
srasearch-chameleon-10a-005-hosts-8-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-10a-005,8,1932552.805138,1970373.606162,1932552.805138,2117209.243631,967.871404,967.871404,967.871404,967.871404
srasearch-chameleon-10a-005-hosts-16-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-10a-005,16,2056833.043925,2749940.948185,2056833.043925,2871338.615478,861.235324,861.235327,861.235324,861.235329
srasearch-chameleon-20a-003-hosts-2-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-20a-003,2,9752131.498084,10585067.566192,9752131.498084,10705630.552523,18613.652854,18617.533961,18613.652854,18621.506496
srasearch-chameleon-20a-003-hosts-4-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-20a-003,4,10618255.241569,10704628.946305,10618255.241569,10727580.782415,9318.974163,9327.124876,9318.974163,9332.376601
srasearch-chameleon-20a-003-hosts-8-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-20a-003,8,10860089.669946,10912123.439992,10860089.669946,10987562.139374,4847.140853,4935.971765,4847.140853,4987.848977
srasearch-chameleon-20a-003-hosts-16-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-20a-003,16,12360001.230306,12742595.837360,12360001.230306,13102199.721151,3962.516383,3962.516391,3962.516383,3962.516394
srasearch-chameleon-40a-003-hosts-2-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-40a-003,2,12552587.457853,12703680.997563,12552587.457853,12724851.870546,22115.754692,22123.372530,22115.754692,22132.281700
srasearch-chameleon-40a-003-hosts-4-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-40a-003,4,12747337.208136,12751051.251242,12747337.208136,12756594.432574,11089.203833,11092.415832,11089.203833,11095.878857
srasearch-chameleon-40a-003-hosts-8-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-40a-003,8,12766807.079633,12783993.518038,12766807.079633,12800681.372308,5563.568435,5571.784838,5563.568435,5583.716559
srasearch-chameleon-40a-003-hosts-16-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-40a-003,16,13044099.444080,13244450.566014,13044099.444080,13359073.803852,2954.644726,3085.824796,2954.644726,3165.534231
srasearch-chameleon-50a-003-hosts-2-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-50a-003,2,18874375.300101,19396333.499966,18874375.300101,19459971.403813,33826.005711,33834.470563,33826.005711,33843.441973
srasearch-chameleon-50a-003-hosts-4-multi-makespan-mono,multi-makespan-mono,srasearch-chameleon-50a-003,4,19484206.095678,19490353.834041,19484206.095678,19498432.305382,16947.764609,16952.558328,16947.764609,16957.562757
